Event Description,Year,outage_start_date,power_supplier,location,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,duration,state,outage_type
Severe Weather - Thunderstorms,2014,6/30/2014,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"420,000","severe weather, thunderstorm",46.5,Illinois,Severe Weather
Severe Weather - Thunderstorms,2014,6/30/2014,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"127,000","severe weather, thunderstorm",17.666666666666668,Indiana,Severe Weather
Severe Weather - Thunderstorms,2014,6/30/2014,We Energies,Wisconsin,MRO,424,"120,000","severe weather, thunderstorm",8.966666666666667,Wisconsin,Severe Weather
Fuel Supply Emergency - Coal,2014,6/27/2014,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",,Wisconsin,Fuel Supply Emergency
Physical Attack - Vandalism,2014,6/24/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Tennessee,Physical Attack
Physical Attack - Vandalism,2014,6/19/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Tennessee,Physical Attack
Physical Attack - Vandalism,2014,6/18/2014,Public Utility District No.1 of Snohomish County (SNPD),Washington,WECC,Unknown,Unknown,"vandalism, physical",9.133333333333333,Washington,Physical Attack
Severe Weather - Thunderstorms,2014,6/18/2014,Detroit Edison Co,Michigan,RFC,Unknown,"138,802","severe weather, thunderstorm",46.0,Michigan,Severe Weather
Suspected Physical Attack,2014,6/12/2014,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Texas,Physical Attack
Physical Attack - Vandalism,2014,6/11/2014,South Mississippi El Pwr Assn,Mississippi,SERC,,,"vandalism, physical",0.5,Mississippi,Physical Attack
Suspected Physical Attack,2014,6/11/2014,Tucson Electric Power,Arizona,WECC,,,"vandalism, physical",0.016666666666666666,Arizona,Physical Attack
Severe Weather - Thunderstorms,2014,6/10/2014,American Electric Power,Virginia,RFC,Unknown,"66,383","severe weather, thunderstorm",16.666666666666668,Virginia,Severe Weather
Severe Weather - Thunderstorms,2014,6/7/2014,Southern Company,Alabama,SERC,217,"65,000","severe weather, thunderstorm",6.5,Alabama,Severe Weather
Fuel Supply Emergency - Coal,2014,6/6/2014,"Luminant Energy Company, LLC",Texas,ERCOT,Unknown,Unknown,"fuel supply emergency, coal",,Texas,Fuel Supply Emergency
Severe Weather - Thunderstorms,2014,6/5/2014,Memphis Light Gas and Water Division,Tennessee,SERC,494,"38,500","severe weather, thunderstorm",68.75,Tennessee,Severe Weather
Severe Weather - Thunderstorms,2014,6/5/2014,Tennessee Valley Authority,Tennessee,SERC,Unknown,"56,475","severe weather, thunderstorm",0.016666666666666666,Tennessee,Severe Weather
Physical Attack - Vandalism,2014,6/3/2014,Lower Colorado River Authority,Texas,ERCOT,Unknown,Unknown,"vandalism, physical",0.08333333333333333,Texas,Physical Attack
Physical Attack - Vandalism,2014,5/27/2014,Arizona Public Service Co,Arizona,WECC,,,"vandalism, physical",5.883333333333334,Arizona,Physical Attack
Physical Attack - Vandalism,2014,5/20/2014,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/16/2014,San Diego Gas & Electric Co,California,WECC,"3,900","1,400,000","wild fire, public appeal",10.283333333333333,California,Fuel Supply Emergency
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/15/2014,San Diego Gas & Electric Co,California,WECC,"3,300","1,400,000","wild fire, public appeal",,California,Fuel Supply Emergency
Suspected Physical Attack,2014,5/15/2014,"Whiting Clean Energy, Inc.",Indiana,RFC,,,"vandalism, physical",0.05,Indiana,Physical Attack
Public Appeal to Reduce Electricity Usage - Wild Fires,2014,5/14/2014,San Diego Gas & Electric Company,California,WECC,,426,"wild fire, public appeal",,California,Fuel Supply Emergency
Physical Attack - Vandalism,2014,5/12/2014,PacifiCorp,Utah,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Physical Attack - Vandalism,2014,5/11/2014,Great River Energy,Minnesota,MRO,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Minnesota,Physical Attack
Severe Weather - Heavy Winds,2014,5/9/2014,Vectren Energy Delivery of Indiana,Indiana,RFC,Unknown,"56,000","severe weather, wind",43.0,Indiana,Severe Weather
Physical Attack,2014,5/8/2014,"CSolar IV South, LLC",California,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,California,Physical Attack
Physical Attack,2014,5/8/2014,Clarksdale Public Utilities,Mississippi,SERC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,Mississippi,Physical Attack
Severe Weather - Thunderstorms,2014,4/30/2014,Southern Company,Georgia,SERC,296,"89,000","severe weather, thunderstorm",10.166666666666666,Georgia,Severe Weather
Severe Weather - Thunderstorms,2014,4/29/2014,Tennessee Valley Authority,Alabama,SERC,Unknown,"57,000","severe weather, thunderstorm",47.38333333333333,Alabama,Severe Weather
Physical Attack - Vandalism,2014,4/27/2014,PacifiCorp,Oregon,WECC,Unknown,Unknown,"vandalism, physical",0.03333333333333333,Oregon,Physical Attack
Physical Attack - Vandalism,2014,4/25/2014,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical",0.5,Delaware,Physical Attack
Load shedding of 100 Megawatts,2014,4/23/2014,MISO / Entergy Transmission,Louisiana,SERC,163,"28,000",load shedding,0.8666666666666667,Louisiana,Load Shedding
Severe Weather,2014,4/12/2014,Detroit Edison Company,Michigan,RFC,Unknown,"164,000",severe weather,71.5,Michigan,Severe Weather
Severe Weather - Thunderstorms,2014,4/12/2014,Consumers Energy,Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm",38.75,Michigan,Severe Weather
Physical Attack - Vandalism,2014,4/8/2014,"Western Area Power Administration, Sierra Nevada Region",California,WECC,Unknown,Unknown,"vandalism, physical",0.016666666666666666,California,Physical Attack
Severe Weather - Wind,2014,4/4/2014,"Entergy Services, Inc.",Arkansas,SERC,Unknown,"57,200","severe weather, wind",4.75,Arkansas,Severe Weather
Fuel Supply Emergency - Coal,2014,4/3/2014,City of Garland / Texas Municipal Power Agency,Texas,TRE,Unknown,Unknown,"fuel supply emergency, coal",,Texas,Fuel Supply Emergency
Fuel Supply Emergency - Coal,2014,4/3/2014,We Energies,Wisconsin,MRO,Unknown,Unknown,"fuel supply emergency, coal",141.13333333333333,Wisconsin,Fuel Supply Emergency
Electrical System Separation (Islanding),2014,3/26/2014,Peak Reliability,Montana,WECC,Unknown,Unknown,islanding,0.9333333333333333,Montana,Electrical System Issues
Physical Attack,2014,3/26/2014,ITC Midwest LLC,Iowa,MRO,,,"vandalism, physical",356.0,Iowa,Physical Attack
Physical Attack - Vandalism,2014,3/24/2014,PacifiCorp,Utah,WECC,,,"vandalism, physical",0.016666666666666666,Utah,Physical Attack
Physical Attack - Sabatoge,2014,3/17/2014,Arizona Public Service Co,Arizona,WECC,,,vandalism,19.516666666666666,Arizona,Physical Attack
Physical Attack - Vandalism,2014,3/14/2014,ITC Holdings,Iowa,MRO,Unknown,Unknown,"vandalism, physical",4.183333333333334,Iowa,Physical Attack
